ÉZÉìÉTî‘çÜ,pos,neg,pos+neg
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,158,158
6,2388,28223,30611
7,2388,28319,30707
8,0,23328,23328
9,7857,63661,71518
10,8200,80530,88730
11,34624,272974,307598
12,4304,8328,12632
13,18858,101824,120682
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
ëçòa,78619,607345,,0.88539
ëçòa(àÍì˙ìñÇΩÇË),3743,28921,,0.88539
