ÉZÉìÉTî‘çÜ,pos,neg,pos+neg
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,6,284,290
7,6,276,282
8,0,232,232
9,861,2685,3546
10,991,2972,3963
11,4200,45734,49934
12,590,1198,1788
13,1545,11465,13010
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
ëçòa,8199,64846,,0.88775
ëçòa(àÍì˙ìñÇΩÇË),390,3087,,0.88775
