ÉZÉìÉTî‘çÜ,pos,neg,pos+neg,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,30,30,
6,88,2652,2740,
7,88,2467,2555,
8,0,2503,2503,
9,486,2389,2875,
10,400,3438,3838,
11,1730,17660,19390,
12,184,392,576,
13,888,5245,6133,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
,3864,36776,40640,0.90492126
,184,1751,,
