ÉZÉìÉTî‘çÜ,pos,neg,pos+neg
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,106,106
7,0,130,130
8,0,80,80
9,404,1588,1992
10,488,1278,1766
11,2100,22222,24322
12,298,682,980
13,788,6466,7254
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
ëçòa,4078,32552,,0.88867
ëçòa(àÍì˙ìñÇΩÇË),194,1550,,0.88867
