ÉZÉìÉTî‘çÜ,pos,neg,pos+neg,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,11,11,
7,0,15,15,
8,0,4,4,
9,41,145,186,
10,59,193,252,
11,200,2221,2421,
12,26,60,86,
13,64,436,500,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
,390,3085,3475,0.887769784
