ÉZÉìÉTî‘çÜ,pos,neg,pos+neg
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,147,147
6,1155,21940,23095
7,1155,21312,22467
8,0,19702,19702
9,4032,34445,38477
10,3888,44807,48695
11,17286,246746,264032
12,2576,5498,8074
13,9314,58705,68019
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
ëçòa,39406,453302,,0.92002
ëçòa(àÍì˙ìñÇΩÇË),1876,21585,,0.92002
